county,state,lat,lon,total_population,population_density_per_sqmi,percent_fair_or_poor_health,percent_smokers,percent_adults_with_obesity,percent_physically_inactive,percent_excessive_drinking,teen_birth_rate,percent_uninsured,high_school_graduation_rate,percent_some_college,labor_force,percent_children_in_poverty,social_association_rate,violent_crime_rate,percent_severe_housing_problems,overcrowding,inadequate_facilities,life_expectancy,percent_frequent_physical_distress,percent_frequent_mental_distress,percent_adults_with_diabetes,percent_food_insecure,percent_insufficient_sleep,average_grade_performance,median_household_income,percent_enrolled_in_free_or_reduced_lunch,average_traffic_volume_per_meter_of_major_roadways,percent_homeowners,percent_severe_housing_cost_burden,percent_less_than_18_years_of_age,percent_65_and_over,percent_not_proficient_in_english,percent_female,percent_rural,per_capita_income,percentile_rank_below_poverty,percentile_rank_unemployed,percentile_rank_per_capita_income,percentile_rank_no_highschool_diploma,percentile_rank_socioeconomic_theme,percentile_rank_age_65_and_older,percentile_rank_age_17_and_younger,percentile_rank_disabled,percentile_rank_single_parent_households,percentile_rank_household_comp_disability_theme,percentile_rank_minorities,percentile_rank_limited_english_abilities,percentile_rank_minority_status_and_language_theme,percentile_rank_multi_unit_housing,percentile_rank_mobile_homes,percentile_rank_overcrowding,percentile_rank_no_vehicle,percentile_rank_institutionalized_in_group_quarters,percentile_rank_housing_and_transportation,percentile_rank_social_vulnerability,mean_winter_temp,mean_summer_temp
Autauga,Alabama,32.53492796,-86.64274781,55049,92.60553338,20.88298733,18.08155718,33.3,34.7,15.02603126,25.28492716,8.721685951,90,62.00997368,25957,19.3,12.07120208,272.2822201,14.66346154,1.201923077,1.346153846,76.87947717,13.68522862,14.12934665,11.1,13.2,35.90540606,2.959586278,59338,43.40867308,88.45704042,74.89462467,13.40348117,23.67403464,15.56266974,0.820224503,51.44871495,42.00216232,26168,0.2824,0.3298,0.3607,0.4744,0.3298,0.1964,0.8313,0.738,0.32,0.5568,0.6339,0.5355,0.5976,0.6791,0.7268,0.2477,0.3298,0.1251,0.2881,0.3773,40.81145455,79.31344262
Baldwin,Alabama,30.72748899,-87.72257524,199510,125.4931867,17.50913436,17.4890326,31,26.5,17.9583101,27.88069221,11.33340447,86.3615768,67.37161982,93849,13.9,10.20561732,203.6603963,13.56620093,1.27079175,0.479041916,78.45025837,12.48010767,13.47533556,10.7,11.6,33.30586814,3.005641748,57588,48.48656472,86.99742988,73.61934319,11.72580795,21.60791113,20.44334975,0.543516982,51.53837686,42.27909911,28069,0.3317,0.4241,0.2448,0.2999,0.2881,0.6437,0.4476,0.3521,0.1493,0.2057,0.5253,0.5282,0.5294,0.9733,0.5387,0.2639,0.0872,0.3438,0.3324,0.2757,46.46418182,81.16065574
Barbour,Alabama,31.86958881,-85.39321291,26614,30.07653811,29.59180171,21.99998453,41.7,23.5,12.84401555,40.87081536,12.24279246,81.41025641,34.85764862,8373,43.9,7.518796993,414.2778607,14.58333333,1.688596491,0.603070175,75.34193493,17.1848975,16.58625221,17.6,22,38.56316713,2.660388191,34382,63.29230204,102.2917622,61.39777923,14.05954631,20.86732848,19.4204413,1.631682519,47.21675174,67.7896347,17249,0.9261,0.9526,0.9491,0.9551,0.9768,0.4174,0.3617,0.8937,0.9296,0.8835,0.9042,0.6979,0.8558,0.2814,0.937,0.4438,0.8816,0.9427,0.9312,0.9847,40.344,77.24852459
Bibb,Alabama,32.99863415,-87.12648014,22572,36.25544448,19.43972416,19.11419989,37.6,33.5,15.57004237,41.69679441,10.20625259,83.76383764,44.13735343,8661,27.8,8.381859891,89.34912598,10.4964539,0.255319149,0.709219858,73.57182028,13.62657549,14.01753635,14.5,14.3,38.1488654,2.628688251,46064,61.56211562,29.33558001,75.07309942,9.886874322,20.47767857,16.47321429,0.268210051,46.78125,68.35260746,18988,0.5536,0.5425,0.8819,0.7781,0.7393,0.2585,0.3088,0.4419,0.3266,0.1022,0.645,0.3553,0.5018,0.4072,0.9249,0.0248,0.5645,0.9156,0.6663,0.5737,39.69690909,77.85672131
Blount,Alabama,33.9808782,-86.56738341,57704,89.4904119,21.74529281,19.20867197,33.8,30.3,14.23059383,33.5345953,13.36075949,93.46879536,53.36107325,25006,18,8.446382707,482.6906109,10.54801164,1.891367604,1.091173618,74.1458259,14.52316435,14.85927083,17,10.7,35.94501042,3.025407365,50412,52.90628707,33.41178196,78.62621359,8.462257294,23.15352697,18.23651452,1.724519941,50.72614108,89.95150204,21033,0.5536,0.3792,0.7504,0.8058,0.6609,0.4909,0.6466,0.4527,0.4018,0.4664,0.4238,0.7482,0.5992,0.1344,0.8465,0.5056,0.1907,0.1515,0.1827,0.4986,37.04018182,74.92918033
Bullock,Alabama,32.10053438,-85.71568627,10552,16.94269302,30.99910185,22.89466401,37.2,24.6,12.09410123,47.91666667,11.44037612,70.24793388,34.97609415,4776,68.3,7.760209526,311.0273327,18.14345992,0.112517581,3.094233474,73.53089479,16.88096852,15.85477602,23.7,24.8,45.02063587,2.485916346,29267,75.78659371,4.0665382,75.53338875,18.50152905,21.07910831,16.38390215,0.440754408,45.48234366,51.37438153,17909,0.9335,0.9599,0.9293,0.9901,0.9812,0.2732,0.362,0.6864,0.9854,0.7265,0.9812,0.5769,0.8341,0.1897,0.9599,0.0169,0.9857,0.7705,0.7144,0.9363,39.89290909,79.64229508
Butler,Alabama,31.75241781,-86.68030288,20280,26.10616349,27.91067318,21.76533496,43.3,39.5,11.85740343,37.88610039,11.18600954,81.58995816,41.67875648,8914,36.3,9.079445145,581.5840052,13.15960912,1.693811075,0.390879479,72.9183092,16.69670739,16.91536387,19.2,20.6,41.9110839,2.74187666,37365,79.15713819,19.3110679,69.94633274,11.54595648,22.24593496,20.29979675,0.494155154,53.42987805,71.23215735,19011,0.9147,0.8335,0.8803,0.7644,0.9067,0.5845,0.6151,0.7943,0.9147,0.9698,0.8682,0.547,0.7529,0.3088,0.8835,0.4129,0.6705,0.3502,0.5479,0.9166,43.47618182,79.09147541
Calhoun,Alabama,33.77143651,-85.82603459,115883,191.2611704,23.10773322,20.61256038,38.5,31.7,13.84223015,33.53461699,11.92916752,92.36804565,59.24398864,45972,26.5,14.46900495,756.0665443,13.73419126,1.542045707,0.843132904,73.03910859,14.75440129,15.19150739,17.5,15.7,41.31434398,3.077643804,45400,58.83759322,109.8991631,69.47349721,11.72243222,21.60977275,17.71747596,0.991376133,51.94658593,33.69682556,22231,0.7348,0.9258,0.659,0.73,0.8179,0.3575,0.4349,0.8469,0.7711,0.7876,0.6676,0.4855,0.5871,0.6052,0.631,0.3706,0.5645,0.6125,0.6358,0.816,36.34272727,77.72590164
Chambers,Alabama,32.91435287,-85.39203349,34018,57.02636348,23.9954736,19.39292705,40.1,30.1,12.74573462,45.44100119,11.93807681,86.23853211,48.46033403,15276,30.7,17.79728888,528.9997362,15.9566787,4.036101083,0.938628159,74.29107603,15.24778731,15.49667308,19.9,17.9,37.26657479,2.61400257,39917,71.12135177,20.27158691,67.7641314,12.38102792,20.80023799,19.52104715,0.112937633,52.12553919,49.14803449,21532,0.7644,0.5947,0.7122,0.7934,0.7689,0.6151,0.3467,0.689,0.7138,0.7615,0.8402,0.2996,0.5798,0.5845,0.6734,0.8812,0.774,0.3251,0.8596,0.8408,37.40490909,76.72233333
Cherokee,Alabama,34.17592601,-85.60380039,25897,46.76915044,20.6984706,17.49867379,35,31.3,14.10656285,36.56876094,11.17264992,94.9044586,51.83621006,11622,24.7,8.5083343,330.438792,13,1.5,0.5,73.99883376,14.36571083,14.67794145,15.2,12.5,35.35507081,3.009611212,42132,61.60624371,25.90888704,78.95530832,9.945695897,19.16871543,22.97172711,0.401639012,50.46097111,85.73627304,22544,0.5466,0.3677,0.6351,0.7599,0.6008,0.773,0.2572,0.8905,0.4215,0.7494,0.3005,0.077,0.1417,0.3639,0.9086,0.341,0.1261,0.2776,0.2518,0.419,35.98036364,75.17666667
Chilton,Alabama,32.84786998,-86.71880376,43817,63.24136936,21.18546291,20.18897906,37.7,33.2,14.50937458,46.80851064,13.75970587,88.20598007,39.90556964,19476,23.3,15.204121,507.810721,13.29723225,2.888086643,0.812274368,74.92675055,14.5909916,15.17709983,18.6,13.1,35.17456926,2.784968023,47547,60.77003122,28.80120495,74.84926273,12.15950219,23.76055987,16.78481643,1.887617521,50.92519195,86.74472424,22045,0.7644,0.6466,0.6759,0.8023,0.774,0.2833,0.7233,0.6361,0.5505,0.6422,0.5638,0.8058,0.724,0.1745,0.9529,0.7587,0.4537,0.1232,0.4591,0.744,40.01072727,76.98360656
Choctaw,Alabama,32.0197775,-88.2631849,13287,14.54515632,24.86353129,18.79324829,41.3,36.2,11.64229062,30.33472803,11.34207871,78.63247863,58.00865801,4694,32.1,19.31247586,128.4146626,11.06115108,1.348920863,1.258992806,74.05390155,15.30866335,15.7700207,17.4,19.5,38.29117428,2.518572631,39907,76.97320782,17.1898326,79.68224299,9.389576151,19.99065493,22.99665135,0.411157691,52.7295382,100,20773,0.794,0.9637,0.7679,0.844,0.8997,0.7991,0.277,0.9819,0.5301,0.8749,0.8456,0,0.4088,0.2792,0.9503,0.2859,0.9093,0.2974,0.6004,0.8297,44.29181818,76.96852459
Clarke,Alabama,31.67668212,-87.83081391,24847,20.062749,25.23508481,20.57965532,34.1,34.6,11.86901052,39.21246924,11.92636629,90.90909091,38.2299601,7627,31.7,16.19399577,475.312436,12.03558346,1.507064364,0.470957614,74.78745981,15.91394417,16.37406837,22.4,22.9,40.84477971,3.004822844,40741,71.54297918,66.28763227,67.47168198,12.83643892,21.71822743,19.87040134,0.130304478,52.64214047,75.98033523,20543,0.894,0.9876,0.7861,0.7685,0.9156,0.5845,0.5126,0.5419,0.3808,0.4935,0.8653,0.2079,0.5415,0.4145,0.9112,0.3703,0.9446,0.3114,0.7278,0.8233,45.04490909,76.96852459
Clay,Alabama,33.2690306,-85.86058307,13483,22.3242891,23.79591741,19.62035415,40.6,32.6,13.28650366,39.47832217,13.88333809,89.8089172,35.32303371,5963,25.8,10.47355428,309.0672128,11.18359739,0.91332712,2.236719478,75.23715615,15.05146385,15.56723269,13.5,14.5,38.54052487,2.819775166,39201,63.47462062,37.23049033,72.36440031,7.975206612,20.24858757,20.72316384,0.401322002,51.0960452,100,21115,0.5664,0.4616,0.7434,0.9462,0.7275,0.7011,0.3699,0.5934,0.9156,0.8727,0.5689,0.3992,0.4788,0.0522,0.8669,0.155,0.2038,0.4979,0.1697,0.5922,37.12127273,77.72590164
Cleburne,Alabama,33.67451959,-85.51881383,14991,26.76466038,19.28440781,18.37446577,37.3,31.3,14.46296652,38.83172917,13.34452371,98.02955665,45.01416431,5743,22.9,8.053691275,103.3333333,12.93916024,1.713796058,1.45672665,74.76602886,13.61781588,14.92484469,12.5,13.5,33.50478468,3.214231352,46495,59.59752322,41.33377646,75.65490744,10.0409074,22.76639755,19.45019017,0.7083658,50.48375259,100,19791,0.7348,0.5552,0.8379,0.9519,0.8262,0.5944,0.6316,0.9093,0.0977,0.6667,0.2665,0.5275,0.3782,0.0952,0.9153,0.4336,0.5193,0.1968,0.311,0.6291,36.16527273,77.72590164
Coffee,Alabama,31.40265228,-85.98815917,50991,75.09878872,19.42582681,17.44475759,34.2,30.8,15.18329425,26.04626523,11.99236659,92.5170068,63.77096238,20817,21.9,14.65088484,276.2080442,12.10322581,1.393548387,0.593548387,76.71034856,13.43336232,14.09976691,16.1,14.2,37.30473188,3.177433801,55122,48.37665622,58.32119681,64.79357219,9.457668452,23.65678399,16.95467067,1.380170443,50.8351153,47.19508289,25325,0.5466,0.4094,0.4187,0.6055,0.5072,0.3464,0.6756,0.7233,0.7845,0.8507,0.6877,0.6931,0.7313,0.1668,0.5613,0.3091,0.4877,0.234,0.1624,0.5266,43.07581818,78.80918033
Colbert,Alabama,34.70047669,-87.80493371,54377,91.75699576,20.91445435,18.65882106,30.6,36.6,14.69759291,32.98176618,9.683862525,92.13675214,54.66543892,23258,21,16.88073395,400.0073565,13.72992536,0.678579507,0.859534042,74.6659504,13.88070038,14.35762148,16.2,14.7,36.95078304,3.029002633,49055,51.92165558,80.77685451,72.70516996,11.76300578,20.76257259,19.92987838,0.340486799,52.048866,43.89468656,23318,0.5536,0.5947,0.5766,0.6829,0.6345,0.6243,0.3664,0.8032,0.5244,0.7326,0.588,0.1821,0.3642,0.4511,0.4368,0.078,0.5495,0.0981,0.1175,0.4333,36.896,77.17672131
Conecuh,Alabama,31.42923975,-86.99367837,12697,14.93489778,28.60874779,21.10751297,43,40.7,12.04270764,37.85245268,12.03345531,80.37383178,36.26373626,4494,40.1,7.217900393,387.409201,13.35952849,2.043222004,2.161100197,75.25023311,16.89769889,16.98271613,25.9,20.9,42.32037304,2.746550976,32613,70.96938776,34.49578404,76.60690861,8.943678994,20.77054655,22.49735277,0,52.09741794,80.94950106,16004,0.9761,0.9952,0.9739,0.8255,0.9739,0.773,0.4518,0.8905,0.7453,0.9592,0.8806,0,0.4273,0.1293,0.9401,0.5613,0.6587,0.0344,0.3897,0.8628,44.97618182,79.89344262
Coosa,Alabama,32.93624951,-86.24765729,10864,16.6900669,24.91910328,20.39996562,40.3,35.3,12.67054033,39.75535168,13.02620142,82.71604938,42.86895411,4376,30.1,10.22875209,254.8321954,14.6254459,1.664684899,2.021403092,73.81951325,15.43865537,15.73006706,20.8,15.7,36.80937197,2.735311154,42423,65.26548673,24.29286885,81.98878869,9.642301711,16.58422772,23.15445637,0.361457243,49.61269249,100,18080,0.4756,0.9491,0.9245,0.9608,0.886,0.6437,0.0872,0.9163,0.0449,0.2566,0.7545,0.6285,0.7329,0.0382,0.9462,0.3961,0.6425,0.6902,0.5957,0.772,38.25454545,77.18590164
Covington,Alabama,31.24849866,-86.45127715,37729,36.61389326,22.66880625,19.24945154,31.7,35.5,13.50030218,46.86655862,12.10361769,94.90291262,53.61058151,15617,29.5,12.67119595,331.1214245,12.8458498,1.581027668,1.317523057,73.99450382,14.01217506,14.89160768,15.3,14.6,35.91244884,2.921293518,40203,56.70791273,42.46334895,74.0271855,10.01214026,21.87043746,21.06202347,0.366383595,51.61412426,69.65179399,21738,0.7042,0.8854,0.6969,0.772,0.8214,0.7676,0.4263,0.8768,0.4629,0.8516,0.5205,0.4323,0.4686,0.1576,0.7488,0.3798,0.3986,0.4024,0.2802,0.695,44.46,82.32786885
Crenshaw,Alabama,31.73153754,-86.31357901,13896,22.82374811,22.14693624,18.64692957,38,33.5,14.6170099,37.5862069,12.26752504,89.08045977,44.90782714,6298,30.8,10.09299978,331.907361,9.953917051,0.718894009,0.368663595,74.65904212,14.36408775,15.04905077,18.2,15.8,37.55186144,2.780176124,39057,64.26690079,57.6469532,73.81094527,8.762440502,22.8587963,19.01765046,1.162257226,51.72164352,100,20455,0.6603,0.5813,0.7918,0.8609,0.7752,0.5237,0.5412,0.7994,0.7265,0.8762,0.6915,0.6078,0.6769,0.0481,0.9198,0.0933,0.6297,0.1866,0.2028,0.7014,42.25690909,76.873
Cullman,Alabama,34.13195,-86.86758257,81316,110.6494459,21.78649369,17.90107122,36.9,36.7,14.88718146,41.72823453,12.65824677,90.51987768,50.37848997,37830,19.7,11.72134614,129.3922855,12.30694981,1.753539254,1.206563707,74.53974581,13.85632217,14.65504739,19.3,11.8,35.37426646,3.117531813,45796,50.77333752,51.37029012,74.58184185,9.941378473,22.47908727,18.51106158,0.578012259,50.57045613,73.23955924,21041,0.5925,0.3964,0.7494,0.7329,0.6558,0.5524,0.4938,0.5288,0.2744,0.3613,0.2786,0.5813,0.4174,0.4495,0.8138,0.455,0.2038,0.3308,0.3531,0.4909,37.10854545,74.92918033
Dale,Alabama,31.43181495,-85.61100904,49607,88.40617469,23.43310703,20.05739493,37.2,32,14.53796137,32.92659307,9.698863918,90.31620553,57.64951321,20120,24.4,10.56352334,436.7214188,13.62064379,1.463155094,0.665070498,75.05295351,14.86292591,15.04696997,15.8,16.1,40.84584768,3.069289144,45309,62.59307219,41.48575449,60.1981789,12.9055881,22.97369066,16.89271999,1.001651312,50.929406,50.88853953,22834,0.7701,0.8698,0.6122,0.5734,0.7571,0.3034,0.6581,0.8739,0.5677,0.7832,0.6982,0.5415,0.639,0.2448,0.717,0.3266,0.5801,0.5915,0.4572,0.7463,41.76345455,78.69114754
Dallas,Alabama,32.32597601,-87.10647208,41426,42.32783097,29.82689782,24.08899101,43.1,26.9,11.33825645,38.85725702,10.37240769,86.19329389,50.67367729,14860,48,11.98520974,924.5611684,20.99378882,4.440993789,1.645962733,71.18507134,18.00303087,18.03002783,15.9,27.2,42.32435318,2.61495554,34035,81.37739345,60.7083347,59.78819785,16.61131775,23.80840512,18.06577917,0.111844908,53.83711825,45.63897764,17611,0.9834,0.9774,0.9386,0.8402,0.9704,0.3346,0.8332,0.7125,0.9771,0.9583,0.9723,0.1086,0.5454,0.2171,0.7924,0.9058,0.9768,0.3445,0.859,0.9586,42.56527273,80.564
DeKalb,Alabama,34.45980613,-85.80411386,70937,91.28500002,25.95898149,21.02827079,29.2,31.7,12.45824953,40.67948145,17.31903394,92.74292743,45.80044296,30129,29.6,8.517530754,312.3306881,11.08424023,2.881902459,0.74566707,74.45845024,16.34335966,16.11928499,12.8,12.4,35.81592162,2.738572276,39491,68.66249382,53.00399897,71.19240778,9.858682434,24.07788751,17.26132941,3.505653557,50.37052602,90.1306445,18685,0.7431,0.4241,0.8956,0.9643,0.8115,0.3133,0.7943,0.5005,0.5845,0.6409,0.5581,0.8812,0.7682,0.1557,0.8669,0.7615,0.2496,0.2674,0.3782,0.751,35.97418182,73.3747541
Elmore,Alabama,32.59665284,-86.14916394,80957,130.8950778,18.63386282,17.45250185,34.3,26.4,15.85290019,29.68598067,8.655716447,86.1572536,54.72688134,37215,16.3,10.89658043,238.6766637,11.37071651,1.142263759,0.761509173,75.91196924,12.63679153,13.82924658,15.8,13.3,38.42432624,3.130006198,60367,48.77195651,57.06195387,73.70552105,10.28326675,22.23918327,15.14281876,0.665568283,51.65899349,54.18836614,24771,0.4094,0.5947,0.4604,0.525,0.51,0.1885,0.5495,0.6743,0.652,0.5384,0.6558,0.5361,0.6097,0.482,0.6963,0.2139,0.263,0.8392,0.4801,0.5415,39.336,79.31344262
Escambia,Alabama,31.12614174,-87.1615837,37875,40.07597014,26.05489189,22.41258458,39.4,32.4,12.97516836,44.89584681,14.42834487,87.79220779,37.53066231,14352,32.8,14.42038081,446.2453158,11.82120429,2.29035833,1.108237902,72.90735933,16.25681005,16.34386849,18.8,18.4,39.74832963,2.870678017,38418,68.35815407,35.83380504,68.78909741,10.52069645,22.36584304,17.94927615,0.488553088,49.30880592,63.51157389,17420,0.9048,0.9793,0.943,0.7841,0.95,0.4352,0.4575,0.8379,0.6609,0.7771,0.8017,0.1614,0.475,0.2283,0.7268,0.6173,0.4358,0.8666,0.689,0.8637,45.79872727,77.49147541
Etowah,Alabama,34.04526554,-86.03476326,103363,193.0993905,21.48386406,20.1473986,35.5,34.1,14.03053052,40.43298313,12.46599573,90.27205276,55.23425331,43096,28.8,15.76565617,603.9626197,11.22216599,1.619433198,0.518724696,73.03473169,14.87629511,15.06259797,15.7,14.6,40.83559392,2.966539217,44903,58.09305374,140.0436571,71.90344792,9.344396083,21.46027844,19.01152184,1.218784098,51.55852138,37.48348176,21287,0.6705,0.7163,0.7319,0.7221,0.7609,0.5119,0.419,0.8141,0.6323,0.7679,0.5938,0.6966,0.6721,0.5403,0.5259,0.405,0.5801,0.2993,0.4043,0.7335,36.40490909,76.6895082
Fayette,Alabama,33.72123026,-87.73886639,16783,26.73800077,22.19934392,18.00159326,41,33.7,13.51852394,40.4040404,11.45995637,91.80327869,52.33174351,6482,37.4,7.894097644,193.5048827,12.33576642,1.386861314,1.02189781,74.58653626,14.82965737,15.30841029,23.3,14.4,38.91526204,2.965297201,39254,61.54506438,34.0756081,77.90413128,10.2124431,21.12821761,21.12821761,0,51.17750867,80.23316513,20201,0.6049,0.7453,0.8093,0.8319,0.8017,0.7109,0.3559,0.9882,0.4206,0.8239,0.4798,0,0.1983,0.3136,0.8087,0.3123,0.8991,0.4941,0.6632,0.7217,38.69,78.7852459
Franklin,Alabama,34.44169874,-87.84373986,31573,49.81409295,25.36802147,19.25058304,34.3,38.1,13.37365231,47.35748219,15.3034504,92.10526316,41.06716886,14203,30.1,9.52532148,264.2344364,12.95425396,4.104318085,0.940572894,74.64628269,15.93641365,16.13812802,14.8,12.9,38.42066779,2.710314741,39388,68.73271515,40.9263719,70.56199822,7.884652232,24.53528043,16.88613972,5.133267522,49.54883143,70.36651527,18193,0.8364,0.8259,0.9188,0.9274,0.9309,0.3684,0.7453,0.7692,0.7861,0.9086,0.5976,0.9258,0.8131,0.5651,0.6905,0.8898,0.3986,0.1334,0.5734,0.9195,37.14509091,75.10622951
Geneva,Alabama,31.0950592,-85.83909125,26765,46.59579109,23.0846693,20.00360328,38.7,36.8,13.72213958,46.36128556,14.07272901,90.28776978,43.35687305,10851,29.5,8.705196624,413.5711211,10.18301267,1.689347724,0.516189582,73.79484144,15.22383675,15.80666054,16.9,14.8,36.92114575,3.088657918,37823,59.22961481,44.82286424,70.80828323,11.67278448,21.91989055,20.29718021,0.582927414,51.18188037,89.64165734,20189,0.8513,0.8634,0.8112,0.8797,0.9086,0.6686,0.4422,0.9093,0.7386,0.9366,0.5078,0.5756,0.547,0.0586,0.9303,0.4419,0.5801,0.1445,0.3091,0.8173,43.808,79.23147541
Greene,Alabama,32.85315674,-87.9522131,8587,13.26988096,33.98515564,24.63281871,35.5,18.3,9.571575961,44.59308807,11.44634526,77.52808989,50.28216704,2838,44,9.603841537,669.3440428,19.3236715,3.220611916,2.544283414,74.79660472,19.44458471,18.4575285,14.5,29.7,45.23545272,2.435634451,28524,85.47486034,35.06579969,68.73096447,18.97983393,22.16688935,22.31264424,0,52.78756225,100,13679,0.9917,0.9908,0.9924,0.9019,0.9914,0.5753,0.5909,0.9812,0.9312,0.9908,0.9863,0,0.4912,0.7746,0.9911,0.8103,0.9812,0.0739,0.9599,0.9882,41.99909091,77.76655738
Hale,Alabama,32.76266973,-87.62915115,15159,23.54091496,27.90257033,22.07729134,40.4,27.8,11.40459807,37.21058434,10.56016246,91.28205128,46.72897196,5991,35.6,6.076154469,208.5580726,16.55462185,2.840336135,0.907563025,74.11701861,17.25489044,17.02607577,17.8,22.2,41.79543606,2.871172821,34724,77.67787334,42.62149223,71.47401909,13.77281947,23.04767079,19.21091946,0.07185973,52.41070216,89.16878173,19296,0.9166,0.9379,0.8647,0.7574,0.9239,0.5435,0.6371,0.886,0.7975,0.9608,0.9331,0.3801,0.6855,0.5826,0.9768,0.7692,0.9653,0.3871,0.9675,0.9793,41.70018182,77.31213115
Henry,Alabama,31.51471008,-85.24141827,17187,30.59545648,21.41926206,18.42984544,36.3,35.4,13.80933082,29.54808807,12.18773656,97.90575916,53.46508564,6766,27.2,13.99661748,197.3722972,10.68814056,0.878477306,0.571010249,76.23234938,14.1630146,14.83030089,16.6,14.2,38.11461866,2.683916029,46027,57.48478702,29.3180034,82.80101964,8.936970837,20.61130804,22.72066942,0.314989809,51.76942298,87.75286094,22825,0.4756,0.5947,0.6132,0.7781,0.6536,0.7943,0.3158,0.8083,0.3047,0.6593,0.7147,0.4826,0.6157,0.1675,0.8812,0.1235,0.6297,0.3814,0.3222,0.596,40.93927273,80.59672131
Houston,Alabama,31.15320567,-85.30247675,103891,179.1637719,20.2697971,19.24978279,38.1,30.6,13.52370177,35.07194245,11.0702235,90.91743119,59.28853755,45150,21.9,11.97937631,487.7884842,13.45103518,1.219357297,0.406452432,75.86663695,14.37045324,15.19766223,13.5,16.5,37.04631197,3.088113264,47993,64.20998522,139.9573014,65.57715334,12.38057325,23.03240962,17.79855236,0.592784557,51.98143657,33.80405133,24086,0.6991,0.6714,0.5148,0.6125,0.6635,0.3684,0.6784,0.689,0.8491,0.8746,0.7259,0.5059,0.6348,0.6536,0.6351,0.2461,0.5645,0.1379,0.3477,0.6819,42.19563636,80.59672131
Jackson,Alabama,34.77947284,-85.99935097,52608,48.80750695,23.24476181,19.95892088,38.7,29.1,13.49201628,38.67871259,13.05094171,90.11725293,44.67778134,23241,26.8,9.054306575,316.9849481,10.80471296,2.030584106,1.027826523,73.80725219,15.30583041,15.80285361,16.5,13.6,38.04265797,2.959597326,41929,57.1213263,29.91325272,74.09095317,10.33555603,20.88680996,20.04986856,0.444210057,50.92392145,77.01730325,20487,0.6944,0.7291,0.7896,0.8227,0.8138,0.6243,0.3852,0.689,0.3292,0.5018,0.3782,0.3954,0.3661,0.171,0.7829,0.5457,0.3626,0.2595,0.2935,0.5788,35.91072727,75.4757377
Jefferson,Alabama,33.55431974,-86.89649571,659096,593.0919328,19.69630214,17.62204526,34.6,30.1,14.68864353,29.51960335,10.04948485,88.73381114,68.1047602,314014,22.6,14.4418133,872.7500202,16.76248687,1.375226817,0.928278101,74.67116264,13.71110804,14.56821527,12.9,17.8,36.34513264,2.982918873,55013,52.87654633,419.0718469,62.79912925,15.13814359,22.762172,15.85727287,1.229600473,52.73911725,9.833765145,28162,0.6558,0.6813,0.2385,0.375,0.4973,0.2162,0.5839,0.4639,0.8389,0.5721,0.8812,0.6565,0.8214,0.9351,0.1296,0.3028,0.7835,0.5877,0.6106,0.6409,38.11872727,79.19639344
Lamar,Alabama,33.77914785,-88.09695923,14066,23.25550566,24.25531098,20.430552,35.7,36.5,12.96669047,42.06773619,11.53169829,94.28571429,52.60382334,5721,25.3,7.887566327,162.2117216,10.64891847,0.981697171,1.747088186,74.3449866,15.87235797,16.12057478,18.8,15.2,37.87654685,2.8735852,40936,58.89493512,28.62064269,76.44794108,7.050823193,21.38832707,21.65559087,0.030225178,51.11961861,100,20206,0.8765,0.8109,0.809,0.8876,0.9042,0.7676,0.3785,0.9379,0.5444,0.8927,0.4604,0.2649,0.3356,0.0914,0.7074,0.1643,0.5193,0.3235,0.1757,0.6804,38.77672727,78.651
Lauderdale,Alabama,34.90141329,-87.65401498,92641,138.7465787,20.12583341,16.6560043,32.5,28.5,13.74675543,22.77187058,11.28515877,94.38528558,59.32700033,42141,17.9,14.80472887,268.6032092,12.59124088,1.212200209,0.638686131,76.16952605,14.09689061,14.57050903,13.8,14,35.05816101,3.249689083,48707,49.12680931,108.4593976,68.48418757,10.91323824,19.6651044,20.09265373,0.57371171,52.02030589,49.29510619,24893,0.6651,0.6078,0.4546,0.6125,0.6097,0.6049,0.2512,0.5218,0.4101,0.32,0.4884,0.4209,0.4429,0.709,0.4483,0.242,0.7284,0.5657,0.5868,0.5396,36.68381818,77.17672131
Lawrence,Alabama,34.52168287,-87.31099415,33433,48.40611839,21.83380312,20.18764616,32.6,36.4,14.3314551,38.16907708,14.02862986,88.05555556,48.39478305,13919,31.4,13.61614572,260.4530022,10.62312312,1.561561562,0.525525526,73.81540359,14.50540137,15.35418659,19.3,13.4,38.71894829,2.943459971,43909,61.27471603,30.07263451,79.0960893,9.166666667,21.58873684,18.66371332,0.197981862,51.30928179,91.28978712,21911,0.6651,0.6937,0.6867,0.8844,0.7861,0.3894,0.3989,0.851,0.3999,0.5135,0.6205,0.1235,0.3457,0.1678,0.852,0.3613,0.234,0.0742,0.1436,0.4858,36.92909091,76.97901639
Lee,Alabama,32.6011521,-85.35547541,153947,253.3891336,21.46390783,17.56014041,29.9,21.3,15.74760323,16.50008616,10.35018499,91.14302813,72.65278009,74654,19.3,8.044355338,415.637401,19.23143351,1.986183074,0.682210708,78.22598028,13.82912449,14.72367357,9,17,36.5670481,3.271197373,48937,46.93234788,120.0342777,60.3321375,17.49991129,21.28387652,11.88293349,1.173793508,50.81218243,27.40949896,24951,0.8586,0.3964,0.4518,0.3973,0.5438,0.0334,0.3884,0.2025,0.6982,0.0971,0.7217,0.6574,0.7294,0.9258,0.6979,0.5275,0.3814,0.738,0.8685,0.5989,38.23309091,77.66655738
